date,time_period,Total Rides,Average Ride Time
2023-03-29,afternoon,37665,12.778521173503252
2023-03-29,evening,26191,10.857890114924974
2023-03-29,morning,27906,10.366014477173367
2023-03-29,overnight,2344,13.169368600682594
2023-03-30,afternoon,31778,11.415979608534206
2023-03-30,evening,24098,10.821644949788364
2023-03-30,morning,23675,9.372925026399155
2023-03-30,overnight,1983,9.390821986888552
2023-03-31,afternoon,35505,11.469821151950429
2023-03-31,evening,26407,11.956375203544514
2023-03-31,morning,23719,9.926345967367933
2023-03-31,overnight,2742,10.11925601750547
2023-04-01,afternoon,43544,16.50643027742054
2023-04-01,evening,18426,14.23222620210572
2023-04-01,morning,8282,9.454600338082589
2023-04-01,overnight,5517,13.36668479245967
2023-04-02,afternoon,40064,15.139227236421725
2023-04-02,evening,17545,11.874095183813052
2023-04-02,morning,14503,11.629042267117148
2023-04-02,overnight,3819,11.696779261586803
2023-04-03,afternoon,37108,13.483292012504043
2023-04-03,evening,26305,11.372248621934993
2023-04-03,morning,24634,10.413696517009011
2023-04-03,overnight,2085,9.733333333333333
2023-04-04,afternoon,45163,14.090538715320063
2023-04-04,evening,33406,13.335299048075196
2023-04-04,morning,30948,11.24201887036319
2023-04-04,overnight,2495,11.249699398797596
2023-04-05,afternoon,26111,11.092796139558041
2023-04-05,evening,20777,10.88992636087982
2023-04-05,morning,27023,10.265218517559116
2023-04-05,overnight,2961,10.455251604187774
2023-04-06,afternoon,42926,14.152238736430135
2023-04-06,evening,31104,12.983056841563785
2023-04-06,morning,26522,11.302880627403665
2023-04-06,overnight,2595,10.716377649325626
2023-04-07,afternoon,38200,12.740811518324607
2023-04-07,evening,22132,11.964350262063979
2023-04-07,morning,22767,11.259805859357842
2023-04-07,overnight,3910,11.910485933503836
2023-04-08,afternoon,41176,15.916310472119681
2023-04-08,evening,19887,13.14386282496103
2023-04-08,morning,17196,13.376075831588741
2023-04-08,overnight,3651,11.502054231717338
2023-04-09,afternoon,38872,17.9135367359539
2023-04-09,evening,16889,13.605186807981527
2023-04-09,morning,14724,13.532871502309154
2023-04-09,overnight,3827,11.627384374183434
2023-04-10,afternoon,41020,15.4908337396392
2023-04-10,evening,29613,13.29821362239557
2023-04-10,morning,23458,11.444198141359024
2023-04-10,overnight,1986,10.196374622356496
2023-04-11,afternoon,44563,15.187823979534592
2023-04-11,evening,34305,14.084739833843463
2023-04-11,morning,29037,11.474704687123326
2023-04-11,overnight,2881,12.305102395001736
2023-04-12,afternoon,48113,15.388834618502276
2023-04-12,evening,41378,15.142128667407802
2023-04-12,morning,30664,11.575593529872164
2023-04-12,overnight,3420,13.669005847953215
2023-04-13,afternoon,48124,15.553362147784888
2023-04-13,evening,41912,16.033045428516893
2023-04-13,morning,32284,12.18346549374303
2023-04-13,overnight,4377,14.486863148275074
2023-04-14,afternoon,52045,15.638524353924488
2023-04-14,evening,40833,16.481767198099575
2023-04-14,morning,29539,12.583533633501473
2023-04-14,overnight,5426,15.824917065978621
2023-04-15,afternoon,51234,16.389994925244956
2023-04-15,evening,23225,14.797631862217438
2023-04-15,morning,24726,14.820351047480385
2023-04-15,overnight,8756,16.8068752855185
2023-04-16,afternoon,55701,17.382488644728102
2023-04-16,evening,26681,16.18215209324988
2023-04-16,morning,21523,14.852204618315291
2023-04-16,overnight,6612,16.933151845130066
2023-04-17,afternoon,40522,12.576526331375549
2023-04-17,evening,31285,12.172319002716957
2023-04-17,morning,23056,10.483301526717558
2023-04-17,overnight,2880,12.223958333333334
2023-04-18,afternoon,38922,11.448512409434253
2023-04-18,evening,29543,10.849845987205091
2023-04-18,morning,31092,10.207062910073331
2023-04-18,overnight,2989,10.707594513215122
2023-04-19,afternoon,44413,13.492558485128228
2023-04-19,evening,35130,12.593282095075434
2023-04-19,morning,30998,10.316342989870314
2023-04-19,overnight,2674,10.704936424831713
2023-04-20,afternoon,48168,13.27935558877263
2023-04-20,evening,36864,12.613661024305555
2023-04-20,morning,32274,12.263153002416805
2023-04-20,overnight,3392,10.8125
2023-04-21,afternoon,53306,14.619329906577121
2023-04-21,evening,34887,13.463697079141227
2023-04-21,morning,30234,11.612125421710656
2023-04-21,overnight,4209,12.611784271798527
2023-04-22,afternoon,66487,19.21992269165401
2023-04-22,evening,20895,15.840392438382388
2023-04-22,morning,26874,14.61888814467515
2023-04-22,overnight,6400,12.778125
2023-04-23,afternoon,55110,17.323407729994557
2023-04-23,evening,24962,14.518227706113292
2023-04-23,morning,12389,13.542900960529503
2023-04-23,overnight,1697,13.40895698291102
2023-04-24,afternoon,43417,13.224266992191998
2023-04-24,evening,30393,11.848682262363043
2023-04-24,morning,29644,11.161854000809607
2023-04-24,overnight,2519,11.199682413656213
2023-04-25,afternoon,43191,13.047903498414021
2023-04-25,evening,33332,11.965138605544222
2023-04-25,morning,33339,11.021026425507664
2023-04-25,overnight,2715,9.826151012891344
2023-04-26,afternoon,44604,12.21762622186351
2023-04-26,evening,33887,12.10414023076696
2023-04-26,morning,34039,10.972531507976145
2023-04-26,overnight,2860,10.338811188811189
2023-04-27,afternoon,42536,12.159747037803273
2023-04-27,evening,32409,11.776450985837267
2023-04-27,morning,31775,10.293784421715184
2023-04-27,overnight,3236,11.823238566131026
2023-04-28,afternoon,42014,11.770528871328604
2023-04-28,evening,15993,10.752454198711936
2023-04-28,morning,29368,10.683601198583492
2023-04-28,overnight,3743,11.968207320331285
2023-04-29,afternoon,6519,9.759165516183463
2023-04-29,evening,7730,10.90608020698577
2023-04-29,morning,3501,8.584118823193373
2023-04-29,overnight,1189,9.1959629941127
2023-04-30,afternoon,6145,9.675020341741254
2023-04-30,evening,4044,10.280415430267063
2023-04-30,morning,12498,10.372059529524725
2023-04-30,overnight,3873,12.978053188742576
2023-05-01,afternoon,43946,13.201747599326445
2023-05-01,evening,32045,12.162989545951007
2023-05-01,morning,30817,11.71934321965149
2023-05-01,overnight,1910,9.98848167539267
2023-05-02,afternoon,38359,12.783753486795797
2023-05-02,evening,31652,12.05124478705927
2023-05-02,morning,22984,9.585450748346675
2023-05-02,overnight,3008,11.985372340425531
2023-05-03,afternoon,43522,11.997426588851615
2023-05-03,evening,28872,11.339567747298421
2023-05-03,morning,33000,10.898484848484848
2023-05-03,overnight,2917,10.065821049022968
2023-05-04,afternoon,38714,11.615927054812213
2023-05-04,evening,32142,11.604162777674071
2023-05-04,morning,24993,9.877165606369784
2023-05-04,overnight,2897,10.411805315843976
2023-05-05,afternoon,50931,13.397125522766096
2023-05-05,evening,33757,13.061172497556063
2023-05-05,morning,31027,11.275018532246108
2023-05-05,overnight,3743,11.29067592839968
2023-05-06,afternoon,63242,18.93216533316467
2023-05-06,evening,35251,16.85129499872344
2023-05-06,morning,26400,15.264621212121211
2023-05-06,overnight,6604,14.742731677771047
2023-05-07,afternoon,62508,19.012238433480515
2023-05-07,evening,26530,15.441010177157935
2023-05-07,morning,24440,17.3031914893617
2023-05-07,overnight,6984,15.09135166093929
2023-05-08,afternoon,49564,14.533290291340489
2023-05-08,evening,37855,13.463162065777308
2023-05-08,morning,31719,12.696680223210063
2023-05-08,overnight,2858,13.768019594121764
2023-05-09,afternoon,47908,13.130834098689155
2023-05-09,evening,35919,12.397338455970377
2023-05-09,morning,35342,11.031746929998302
2023-05-09,overnight,3427,11.761599066238693
2023-05-10,afternoon,50739,13.452748378958987
2023-05-10,evening,40591,13.387228696016358
2023-05-10,morning,36204,11.368633300187824
2023-05-10,overnight,3294,10.990892531876138
2023-05-11,afternoon,52700,14.419620493358634
2023-05-11,evening,43023,14.357738883852823
2023-05-11,morning,36489,11.693798130943572
2023-05-11,overnight,3977,12.628111641941162
2023-05-12,afternoon,56895,14.94945074259601
2023-05-12,evening,41253,15.428817298135893
2023-05-12,morning,34359,12.10876335166914
2023-05-12,overnight,4855,13.786611740473738
2023-05-13,afternoon,58297,18.552635641628214
2023-05-13,evening,35007,16.988316622389807
2023-05-13,morning,27197,15.800860389013494
2023-05-13,overnight,8415,14.953297682709447
2023-05-14,afternoon,54590,18.64072174390914
2023-05-14,evening,28897,16.326054607744748
2023-05-14,morning,22657,15.107384031425166
2023-05-14,overnight,7103,16.073912431367027
2023-05-15,afternoon,49705,13.614324514636355
2023-05-15,evening,37247,13.799822804521169
2023-05-15,morning,31950,11.777871674491394
2023-05-15,overnight,3128,13.271099744245523
2023-05-16,afternoon,50284,13.841878132209052
2023-05-16,evening,38184,13.898020113136392
2023-05-16,morning,37107,12.313094564367908
2023-05-16,overnight,3421,11.821981876644257
2023-05-17,afternoon,49089,13.405671331662898
2023-05-17,evening,34506,12.209992465078537
2023-05-17,morning,35297,11.121058446893503
2023-05-17,overnight,3745,12.49105473965287
2023-05-18,afternoon,49142,13.589780635708763
2023-05-18,evening,35905,12.45085642668152
2023-05-18,morning,33850,11.993471196454948
2023-05-18,overnight,3170,11.597791798107256
2023-05-19,afternoon,54021,14.562670072749487
2023-05-19,evening,36484,13.686081570003289
2023-05-19,morning,32437,12.00610414033357
2023-05-19,overnight,3953,11.40045535036681
2023-05-20,afternoon,10423,10.763120023026
2023-05-20,evening,16857,13.219374740463902
2023-05-20,morning,13416,11.369036970781156
2023-05-20,overnight,6777,13.023314150804191
2023-05-21,afternoon,60845,17.842895882981345
2023-05-21,evening,30970,15.806199547949628
2023-05-21,morning,23738,16.07191001769315
2023-05-21,overnight,5485,14.081130355515041
2023-05-22,afternoon,49877,14.010706337590472
2023-05-22,evening,35222,12.781528590085742
2023-05-22,morning,32374,12.251096558967072
2023-05-22,overnight,3558,13.9584035975267
2023-05-23,afternoon,51437,13.348095728755565
2023-05-23,evening,38635,12.801993011518054
2023-05-23,morning,36078,11.295748101335993
2023-05-23,overnight,3393,11.849101090480401
2023-05-24,afternoon,53029,13.842595560919497
2023-05-24,evening,29300,12.06037542662116
2023-05-24,morning,37365,11.227244747758597
2023-05-24,overnight,3554,11.489026449071469
2023-05-25,afternoon,52412,13.537949324582156
2023-05-25,evening,39145,13.391212159918252
2023-05-25,morning,35143,10.918760492843525
2023-05-25,overnight,3412,11.407385697538102
2023-05-26,afternoon,57271,14.573955405004279
2023-05-26,evening,35851,14.72095617974394
2023-05-26,morning,31498,11.666613753254175
2023-05-26,overnight,4561,11.765183073887306
2023-05-27,afternoon,53262,19.255792121963125
2023-05-27,evening,30180,16.63230616302187
2023-05-27,morning,23284,15.446615701769456
2023-05-27,overnight,6183,13.259420993045447
2023-05-28,afternoon,50155,20.01407636327385
2023-05-28,evening,29867,17.662068503699736
2023-05-28,morning,19676,16.185301890628175
2023-05-28,overnight,5862,14.857045377004436
2023-05-29,afternoon,53618,19.430415159088366
2023-05-29,evening,30085,15.525776965265083
2023-05-29,morning,20480,16.585498046875
2023-05-29,overnight,4896,16.068627450980394
2023-05-30,afternoon,47569,14.911686182177469
2023-05-30,evening,35988,13.159247526953429
2023-05-30,morning,31945,11.553138206292065
2023-05-30,overnight,3155,11.793977812995246
2023-05-31,afternoon,50187,13.65154322832606
2023-05-31,evening,39813,13.234119508703188
2023-05-31,morning,35951,11.884008789741593
2023-05-31,overnight,3255,11.414132104454685
