start_station_name,start_lat,start_lng
14 St & 7 Ave,40.663935304,-73.983915329
Bedford Ave & Montgomery St,40.665816,-73.956934
Sullivan Pl & Bedford Ave,40.6642406,-73.9574686
4 Ave & 17 St,40.665507,-73.993037
Carroll St & Rochester Ave,40.66598,-73.9284
Kingston Ave & Montgomery St,40.66481,-73.94269
10 St & 7 Ave,40.66617465,-73.981858253
Crown St & Rogers Ave,40.66639,-73.95346
14 St & 5 Ave,40.666287,-73.98895053
Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013
3 Ave & 17 St,40.666168,-73.995549
Carroll St & Utica Ave,40.66619,-73.93162
Albany Ave & Carroll St,40.666741252,-73.93966841700001
New York Ave & Montgomery St,40.66509,-73.94824
6 Ave & 12 St,40.6663181,-73.9854617
6 Ave & 9 St,40.668184996,-73.983748913
16th St & 4th Ave,40.666197,-73.992466
Buffalo Ave & E New York Ave,40.666085601,-73.926037312
Schenectady Ave & President St,40.66732,-73.93398
Kingston Ave & Carroll St,40.66688323,-73.942407966
6 St & 7 Ave,40.6686627,-73.97988067
President St & Nostrand Ave,40.66811,-73.9505
10 St & 5 Ave,40.6686273,-73.98700053
Eastern Pkwy & Ralph Ave,40.66852,-73.92284
Carroll St & Franklin Ave,40.6679411,-73.9588
3 Ave & 14 St,40.6685455,-73.99333264
Eastern Pkwy & Rochester Ave,40.66846,-73.9282
Flatbush Ave & Eastern Pkwy,40.668757,-73.966438
Eastern Pkwy & Troy Ave,40.669261098,-73.936863422
3 St & Prospect Park West,40.668132,-73.97363831
Eastern Pkwy & Brooklyn Ave,40.669377446,-73.945237637
5 St & 6 Ave,40.6704836,-73.98208968
Union St & Bedford Ave,40.6691783,-73.9554162
12 St & 4 Ave,40.668644905,-73.990473509
10 St & 4 Ave,40.66967356370341,-73.98898908183764
Buffalo Ave & St Johns Pl,40.670081615,-73.92534709
Carroll St & Washington Ave,40.6686744,-73.9618148
Eastern Pkwy & Schenectady Ave,40.66874373,-73.933389187
Eastern Pkwy & Kingston Ave,40.66959,-73.94237
3 St & 7 Ave,40.67034781,-73.978318095
Eastern Pkwy & Nostrand Ave,40.66967,-73.9503
7 St & 5 Ave,40.6704922,-73.98541675
St Johns Pl & Howard Ave,40.66992,-73.92002
Eastern Pkwy & Franklin Ave,40.670776248,-73.957625628
10 St & 2 Ave,40.671907,-73.993612
Sterling Pl & Rochester Ave,40.671478391,-73.928314686
Eastern Pkwy & Washington Ave,40.671673298,-73.963250399
Bay St & Court St,40.671458006,-74.001402497
Sterling Pl & Schenectady Ave,40.6717062,-73.933821678
Troy Ave & Park Pl,40.67251,-73.93642
Sigourney St & Columbia St,40.67267243410948,-74.0087952464819
St. Johns Pl & Kingston Ave,40.671126723,-73.942445636
1 St & 6 Ave,40.672784,-73.979826
Park Pl & Thomas S. Boyland St,40.671552896,-73.914351225
Lincoln Pl & Nostrand Ave,40.67077,-73.9507
4 Ave & 9 St,40.670717478,-73.988555074
Sterling Pl & Ralph Ave,40.670959115,-73.922221899
Lincoln Pl & Classon Ave,40.6721683,-73.9609
St Johns Pl & Utica Ave,40.6705,-73.9308
Park Pl & Utica Ave,40.672400832,-73.930994153
Henry St & Bay St,40.672559142,-74.004935026
Albany Ave & Park Pl,40.67297,-73.93896
Garfield Pl & 8 Ave,40.6711978,-73.97484126
Dwight St & Van Dyke St,40.67363551341504,-74.01195555925369
Sterling Pl & New York Ave,40.67234,-73.94763
5 Ave & 3 St,40.6728155,-73.98352355
Prospect Pl & Howard Ave,40.6726439,-73.919852138
Sterling Pl & Bedford Ave,40.672688961,-73.954159379
7 St & 3 Ave,40.672540903,-73.989647388
Park Pl & Buffalo Ave,40.672043562,-73.925438523
St Johns Pl & Washington Ave,40.6737236,-73.9631611
Schenectady Ave & Prospect Pl,40.67351,-73.93363
Plaza St East & Flatbush Ave,40.673134,-73.969106
Plaza St West & Flatbush Ave,40.6750207,-73.97111473
Grand Army Plaza & Plaza St West,40.6729679,-73.97087984
Columbia St & Lorraine St,40.674852371,-74.007504225
Pacific St & Sackman St,40.67522,-73.9061
Kingston Ave & Park Pl,40.673164129,-73.941886187
Carroll St & 6 Ave,40.6740886,-73.9787282
St Marks Ave & Thomas S. Boyland St,40.67313,-73.91387
Pacific St & Thomas S. Boyland St,40.675680518,-73.914110065
Prospect Pl & Nostrand Ave,40.67425406,-73.950321198
3 St & 3 Ave,40.6750705,-73.98775226
4 Ave & 3 St,40.673688889,-73.98573637
St Marks Ave & Ralph Ave,40.673723102,-73.921899438
Park Pl & Franklin Ave,40.674187183,-73.956314802
St Marks Ave & Rochester Ave,40.67404,-73.92772
Underhill Ave & Lincoln Pl,40.673968315,-73.967126608
Clinton St & Centre St,40.67434,-74.00194698
Bergen St & Troy Ave,40.675215721,-73.935732603
Berkeley Pl & 7 Ave,40.675151587,-73.975169897
Wolcott St & Dwight St,40.6753274,-74.0100698
Bergen St & Mother Gaston Blvd,40.673827529,-73.908534765
Brooklyn Ave & Prospect Pl,40.67412,-73.94447
Carroll St & 5 Ave,40.6751622,-73.9814832
Bergen St & Saratoga Ave,40.67423,-73.91656
Bedford Ave & Bergen St,40.676368,-73.952918
Bergen St & Buffalo Ave,40.674718261,-73.925304413
Classon Ave & St Marks Ave,40.676513,-73.959431
Smith St & 9 St,40.6746957,-73.99785768
Court St & Nelson St,40.6763947,-73.99869893
Schenectady Ave & Pacific St,40.676919103,-73.933250904
Columbia St & W 9 St,40.676851034,-74.006501555
Henry St & W 9 St,40.6764189,-74.003182173
Van Sinderen Ave & Atlantic Ave,40.67621,-73.90351
Bergen St & Kingston Ave,40.67553556,-73.9413656
Van Brunt St & Wolcott St,40.6773429,-74.01275056
Van Brunt St & Van Dyke St,40.675970793,-74.014682412
Dean St & Rockaway Ave,40.67486,-73.91123
New York Ave & St Marks Ave,40.67514,-73.94716
President St & 4 Ave,40.676757,-73.983262
Pacific St & Ralph Ave,40.67607,-73.92171
Franklin Ave & St Marks Ave,40.675734639,-73.956190348
Dean St & Franklin Ave,40.67759206937376,-73.955637216568
3 St & Hoyt St,40.6777287,-73.99364123
Pacific St & Rochester Ave,40.676400542,-73.927474976
Prospect Pl & Underhill Ave,40.6769694,-73.96579
Clinton St & 4 Place,40.6783563,-74.00014502
Fulton St & Williams Ave,40.67709,-73.9008
Pacific St & Troy Ave,40.67686,-73.93607
Verona Pl & Fulton St,40.680484056,-73.947673917
7 Ave & Park Pl,40.6776147,-73.97324283
Pioneer St & Richards St,40.677731276,-74.009343147
Herkimer St & Eastern Pkwy,40.677300215,-73.908471704
Brooklyn Ave & Dean St,40.67669,-73.94437
Berkeley Pl & 6 Ave,40.6765304,-73.97846879
Coffey St & Conover St,40.677236,-74.015665
Coffey St & Ferris St,40.67818387977647,-74.0170168876648
Thomas S. Boyland St & Fulton St,40.67854,-73.91367
Pacific St & Nostrand Ave,40.6776,-73.94963
3 Ave & Carroll St,40.677061081,-73.986515045
Columbus Pl & Atlantic Ave,40.677288651,-73.922832966
Pacific St & Classon Ave,40.6791944,-73.9587903
Smith St & 3 St,40.6787242,-73.99599099
Pacific St & Utica Ave,40.6767,-73.93051
Bergen St & Vanderbilt Ave,40.679414153,-73.968015552
Van Sinderen Ave & Truxton St,40.6786,-73.90369
Prospect Pl & 6 Ave,40.6793307,-73.97519523
Pioneer St & Van Brunt St,40.679043,-74.011169
Somers St & Rockaway Ave,40.67872,-73.91105
Herkimer St & New York Ave,40.67955,-73.94709
Douglass St & 4 Ave,40.6792788,-73.98154004
Union St & 4 Ave,40.677183628,-73.982524157
Fulton St & Saratoga Ave,40.67853,-73.91642
Brevoort Pl & Bedford Ave,40.68012,-73.95362
Carroll St & Bond St,40.6786115,-73.99037292
Sumpter St & Fulton St,40.67923,-73.92588
Grand Ave & Bergen St,40.678045,-73.962408
1 Pl & Clinton St,40.681082368,-73.999317765
Lewis Ave & Fulton St,40.679852486,-73.93462956
Chauncey St & Stuyvesant Ave,40.68012,-73.93168
Bergen St & Carlton Ave,40.680092336223886,-73.97118045900022
Carlton Ave & Dean St,40.6809741,-73.9710097
Carlton Ave & St Marks Ave,40.67911856082165,-73.97176265716553
Richards St & Delavan St,40.6794327,-74.00785041
Somers St & Broadway,40.679439664,-73.904729605
Kingston Ave & Herkimer St,40.67890679,-73.94142771
Sterling Pl & 5 Ave,40.678970070475735,-73.97855266928671
MacDougal St & Rockaway Ave,40.68018,-73.91136
Macon St & Nostrand Ave,40.6809833854,-73.9500479759
Douglass St & 3 Ave,40.6802133,-73.98432695
Degraw St & 3 Ave,40.679796457,-73.984778762
Ralph Ave & Fulton St,40.679316759,-73.92194283
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392
Carroll St & Smith St,40.680611,-73.99475825
Fulton St & Utica Ave,40.6794268,-73.9298911
Chauncey St & Malcolm X Blvd,40.68044,-73.92842
Underhill Ave & Pacific St,40.680513978,-73.964643121
Lewis Ave & Decatur St,40.6814598,-73.934903
Albany Ave & Fulton St,40.679917574,-73.938452721
Commerce St & Van Brunt St,40.6812117,-74.00860912
Broadway & Furman Ave,40.68139,-73.90756
MacDonough St & Marcy Ave,40.68078,-73.94613
St Marks Pl & 4 Ave,40.68177810928762,-73.97988975048065
Thomas S. Boyland St & Marion St,40.6814658848122,-73.91415685415268
Hancock St & Bedford Ave,40.68216564,-73.95399026
Degraw St & Hoyt St,40.682071328,-73.990772367
Patchen Ave & Bainbridge St,40.681331873,-73.925751448
Fulton St & Irving Pl,40.68186,-73.959432
Clinton St & Union St,40.683200479,-73.997733355
Marcus Garvey Blvd & Macon St,40.682601,-73.938037
Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923
Rockaway Ave & Bainbridge St,40.683229566,-73.911695242
Wyckoff St & 3 Ave,40.682805181,-73.982629418
Chauncey St & Howard Ave,40.681593776,-73.919383526
Degraw St & Smith St,40.6829151,-73.99318208
Macon St & Patchen Ave,40.68374,-73.9261
MacDonough St & Malcolm X Blvd,40.682709813,-73.92935288
President St & Henry St,40.6828003,-73.99990419
Macon St & Lewis Ave,40.68282,-73.93488
Bushwick Ave & Furman Ave,40.68281,-73.90623
Halsey St & Tompkins Ave,40.682391524,-73.943979979
Bergen St & 4 Ave,40.68256425759694,-73.9798977971077
Thomas S. Boyland St & Macon St,40.684797049,-73.914907336
Putnam Ave & Nostrand Ave,40.68402,-73.94977
Hoyt St & Warren St,40.684355617,-73.988897443
Halsey St & Ralph Ave,40.68494,-73.92299
Monroe St & Classon Ave,40.6845683,-73.95881081
Butler St & Court St,40.6849894,-73.99440329
Hancock St & Malcolm X Blvd,40.68487,-73.9293
Fulton St & Waverly Ave,40.68323865460341,-73.96599590778351
Carroll St & Columbia St,40.6830456,-74.00348559
S Portland Ave & Hanson Pl,40.68539567,-73.97431458
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
