start_station_id,time_period,start_station_name,start_lat,start_lng,average_ride_time,riders,daily_riders
3000.08,overnight,6 Ave & 55 St,40.640722752,-74.011182427,16.476190476190474,21,0.23333333333333334
3007.05,afternoon,Church Ave & Story St,40.642031,-73.981073,19.1323155216285,393,4.366666666666666
3007.05,evening,Church Ave & Story St,40.642031,-73.981073,23.225806451612904,248,2.7555555555555555
3007.05,morning,Church Ave & Story St,40.642031,-73.981073,17.483253588516746,209,2.3222222222222224
3007.05,overnight,Church Ave & Story St,40.642031,-73.981073,18.096774193548388,31,0.34444444444444444
3011.03,afternoon,59 St & 4 Ave,40.641269,-74.017651,10.473214285714286,560,6.222222222222222
3011.03,evening,59 St & 4 Ave,40.641269,-74.017651,9.346260387811634,361,4.011111111111111
3011.03,morning,59 St & 4 Ave,40.641269,-74.017651,16.860294117647058,272,3.022222222222222
3011.03,overnight,59 St & 4 Ave,40.641269,-74.017651,6.861538461538461,65,0.7222222222222222
3019.02,afternoon,65 St & 2 Ave,40.640493,-74.02564,33.724137931034484,29,0.32222222222222224
3019.02,evening,65 St & 2 Ave,40.640493,-74.02564,15.925925925925926,27,0.3
3019.02,morning,65 St & 2 Ave,40.640493,-74.02564,23.037037037037038,27,0.3
3019.02,overnight,65 St & 2 Ave,40.640493,-74.02564,4.5,4,0.044444444444444446
3019.03,afternoon,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,14.235955056179776,89,0.9888888888888889
3019.03,evening,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,14.733333333333333,15,0.16666666666666666
3019.03,morning,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,33.0,9,0.1
3019.03,overnight,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,9.0,1,0.011111111111111112
3038.08,afternoon,50 St & 7 Ave,40.642501,-74.006055,14.271186440677965,177,1.9666666666666666
3038.08,evening,50 St & 7 Ave,40.642501,-74.006055,16.043478260869566,92,1.0222222222222221
3038.08,morning,50 St & 7 Ave,40.642501,-74.006055,12.80921052631579,152,1.6888888888888889
3038.08,overnight,50 St & 7 Ave,40.642501,-74.006055,6.333333333333333,9,0.1
3046.03,afternoon,E 3 St & Church Ave,40.643817,-73.977433,18.575949367088608,316,3.511111111111111
3046.03,evening,E 3 St & Church Ave,40.643817,-73.977433,22.74125874125874,143,1.5888888888888888
3046.03,morning,E 3 St & Church Ave,40.643817,-73.977433,19.049295774647888,142,1.5777777777777777
3046.03,overnight,E 3 St & Church Ave,40.643817,-73.977433,24.636363636363637,11,0.12222222222222222
3050.03,afternoon,55 St & 5 Ave,40.642408,-74.013318,15.223443223443223,273,3.033333333333333
3050.03,evening,55 St & 5 Ave,40.642408,-74.013318,17.125,152,1.6888888888888889
3050.03,morning,55 St & 5 Ave,40.642408,-74.013318,10.93953488372093,215,2.388888888888889
3050.03,overnight,55 St & 5 Ave,40.642408,-74.013318,15.2,10,0.1111111111111111
3056.05,afternoon,12 Ave & 36 St,40.643546,-73.986418,17.79937304075235,319,3.5444444444444443
3056.05,evening,12 Ave & 36 St,40.643546,-73.986418,17.733031674208146,221,2.4555555555555557
3056.05,morning,12 Ave & 36 St,40.643546,-73.986418,16.186274509803923,204,2.2666666666666666
3056.05,overnight,12 Ave & 36 St,40.643546,-73.986418,20.209302325581394,43,0.4777777777777778
3084.05,afternoon,52 St & 6 Ave,40.642703,-74.009441,14.814977973568283,227,2.522222222222222
3084.05,evening,52 St & 6 Ave,40.642703,-74.009441,14.393103448275863,145,1.6111111111111112
3084.05,morning,52 St & 6 Ave,40.642703,-74.009441,10.160714285714286,112,1.2444444444444445
3084.05,overnight,52 St & 6 Ave,40.642703,-74.009441,7.636363636363637,22,0.24444444444444444
3090.06,afternoon,Church Ave & McDonald Ave,40.642827511,-73.979177356,26.00677966101695,295,3.2777777777777777
3090.06,evening,Church Ave & McDonald Ave,40.642827511,-73.979177356,23.732620320855617,187,2.077777777777778
3090.06,morning,Church Ave & McDonald Ave,40.642827511,-73.979177356,20.573529411764707,136,1.511111111111111
3090.06,overnight,Church Ave & McDonald Ave,40.642827511,-73.979177356,15.96551724137931,29,0.32222222222222224
3093.07,afternoon,57 St & 4 Ave,40.642622,-74.016866,12.329974811083124,397,4.411111111111111
3093.07,evening,57 St & 4 Ave,40.642622,-74.016866,12.843537414965986,294,3.2666666666666666
3093.07,morning,57 St & 4 Ave,40.642622,-74.016866,13.962809917355372,242,2.688888888888889
3093.07,overnight,57 St & 4 Ave,40.642622,-74.016866,11.578947368421053,57,0.6333333333333333
3117.05,afternoon,46 St & 7 Ave,40.64476943,-74.003756762,14.288235294117648,340,3.7777777777777777
3117.05,evening,46 St & 7 Ave,40.64476943,-74.003756762,16.377551020408163,294,3.2666666666666666
3117.05,morning,46 St & 7 Ave,40.64476943,-74.003756762,12.271889400921658,434,4.822222222222222
3117.05,overnight,46 St & 7 Ave,40.64476943,-74.003756762,12.910714285714286,56,0.6222222222222222
3125.09,afternoon,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,21.795197740112993,708,7.866666666666666
3125.09,evening,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,20.376262626262626,396,4.4
3125.09,morning,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,20.290167865707435,417,4.633333333333334
3125.09,overnight,Ocean Pkwy & Church Ave,40.64471895763575,-73.97451460361481,25.75,44,0.4888888888888889
3129.08,afternoon,53 St & 5 Ave,40.643371,-74.011884,14.068807339449542,218,2.422222222222222
3129.08,evening,53 St & 5 Ave,40.643371,-74.011884,12.992857142857142,140,1.5555555555555556
3129.08,morning,53 St & 5 Ave,40.643371,-74.011884,12.363013698630137,146,1.6222222222222222
3129.08,overnight,53 St & 5 Ave,40.643371,-74.011884,16.181818181818183,11,0.12222222222222222
3135.04,afternoon,Chester Ave & 12 Ave,40.644199252,-73.984176397,20.083870967741934,155,1.7222222222222223
3135.04,evening,Chester Ave & 12 Ave,40.644199252,-73.984176397,12.11214953271028,107,1.1888888888888889
3135.04,morning,Chester Ave & 12 Ave,40.644199252,-73.984176397,11.921686746987952,166,1.8444444444444446
3135.04,overnight,Chester Ave & 12 Ave,40.644199252,-73.984176397,13.333333333333334,3,0.03333333333333333
3138.09,afternoon,58 St & 2 Ave,40.644584537,-74.021358252,16.326424870466322,193,2.1444444444444444
3138.09,evening,58 St & 2 Ave,40.644584537,-74.021358252,14.44578313253012,83,0.9222222222222223
3138.09,morning,58 St & 2 Ave,40.644584537,-74.021358252,11.714285714285714,77,0.8555555555555555
3138.09,overnight,58 St & 2 Ave,40.644584537,-74.021358252,19.0,5,0.05555555555555555
3161.02,afternoon,46 St & 6 Ave,40.645884037,-74.005695343,16.738636363636363,264,2.933333333333333
3161.02,evening,46 St & 6 Ave,40.645884037,-74.005695343,19.400921658986174,217,2.411111111111111
3161.02,morning,46 St & 6 Ave,40.645884037,-74.005695343,12.008968609865471,223,2.477777777777778
3161.02,overnight,46 St & 6 Ave,40.645884037,-74.005695343,12.935483870967742,31,0.34444444444444444
3166.03,afternoon,Albemarle Rd & McDonald Ave,40.645074,-73.979681,17.225464190981434,377,4.188888888888889
3166.03,evening,Albemarle Rd & McDonald Ave,40.645074,-73.979681,11.85655737704918,244,2.7111111111111112
3166.03,morning,Albemarle Rd & McDonald Ave,40.645074,-73.979681,15.751937984496124,258,2.8666666666666667
3166.03,overnight,Albemarle Rd & McDonald Ave,40.645074,-73.979681,17.27777777777778,36,0.4
3169.07,afternoon,53 St & 4 Ave,40.644862,-74.014531,12.470288624787775,589,6.544444444444444
3169.07,evening,53 St & 4 Ave,40.644862,-74.014531,9.677804295942721,419,4.655555555555556
3169.07,morning,53 St & 4 Ave,40.644862,-74.014531,11.503759398496241,399,4.433333333333334
3169.07,overnight,53 St & 4 Ave,40.644862,-74.014531,8.216666666666667,60,0.6666666666666666
3178.02,afternoon,57 St & 1 Ave,40.646311164,-74.022932172,20.406593406593405,182,2.022222222222222
3178.02,evening,57 St & 1 Ave,40.646311164,-74.022932172,14.895104895104895,143,1.5888888888888888
3178.02,morning,57 St & 1 Ave,40.646311164,-74.022932172,14.671052631578947,76,0.8444444444444444
3178.02,overnight,57 St & 1 Ave,40.646311164,-74.022932172,4.0,2,0.022222222222222223
3192.05,afternoon,7 Ave & 41 St,40.647376418,-74.000934362,15.674251497005988,835,9.277777777777779
3192.05,evening,7 Ave & 41 St,40.647376418,-74.000934362,15.090586145648313,563,6.2555555555555555
3192.05,morning,7 Ave & 41 St,40.647376418,-74.000934362,12.94488188976378,635,7.055555555555555
3192.05,overnight,7 Ave & 41 St,40.647376418,-74.000934362,13.24,75,0.8333333333333334
3199.01,afternoon,Caton Ave & E 7 St,40.647718,-73.973663,17.2972972972973,407,4.522222222222222
3199.01,evening,Caton Ave & E 7 St,40.647718,-73.973663,13.417840375586854,213,2.3666666666666667
3199.01,morning,Caton Ave & E 7 St,40.647718,-73.973663,15.116788321167883,274,3.0444444444444443
3199.01,overnight,Caton Ave & E 7 St,40.647718,-73.973663,19.96875,32,0.35555555555555557
3202.06,afternoon,48 St & 5 Ave,40.646351,-74.009271,11.167101827676241,383,4.2555555555555555
3202.06,evening,48 St & 5 Ave,40.646351,-74.009271,12.585858585858587,297,3.3
3202.06,morning,48 St & 5 Ave,40.646351,-74.009271,9.514388489208633,278,3.088888888888889
3202.06,overnight,48 St & 5 Ave,40.646351,-74.009271,11.157894736842104,38,0.4222222222222222
3208.07,afternoon,Dahill Rd & 12 Ave,40.646037,-73.980963,16.107784431137723,334,3.7111111111111112
3208.07,evening,Dahill Rd & 12 Ave,40.646037,-73.980963,13.71369294605809,241,2.6777777777777776
3208.07,morning,Dahill Rd & 12 Ave,40.646037,-73.980963,19.254901960784313,306,3.4
3208.07,overnight,Dahill Rd & 12 Ave,40.646037,-73.980963,15.2,10,0.1111111111111111
3211.06,afternoon,53 St & 2 Ave,40.647485137,-74.018827677,13.908831908831909,351,3.9
3211.06,evening,53 St & 2 Ave,40.647485137,-74.018827677,15.756410256410257,234,2.6
3211.06,morning,53 St & 2 Ave,40.647485137,-74.018827677,18.178571428571427,168,1.8666666666666667
3211.06,overnight,53 St & 2 Ave,40.647485137,-74.018827677,14.391304347826088,23,0.25555555555555554
3220.01,afternoon,58 St & Pier 4,40.646475,-74.026081,20.933168316831683,404,4.488888888888889
3220.01,evening,58 St & Pier 4,40.646475,-74.026081,17.580188679245282,212,2.3555555555555556
3220.01,morning,58 St & Pier 4,40.646475,-74.026081,31.911392405063292,79,0.8777777777777778
3220.01,overnight,58 St & Pier 4,40.646475,-74.026081,125.0,5,0.05555555555555555
3230.01,afternoon,Caton Ave & E 10 St,40.648749709,-73.970407486,18.948616600790515,506,5.622222222222222
3230.01,evening,Caton Ave & E 10 St,40.648749709,-73.970407486,17.951219512195124,328,3.6444444444444444
3230.01,morning,Caton Ave & E 10 St,40.648749709,-73.970407486,17.17117117117117,333,3.7
3230.01,overnight,Caton Ave & E 10 St,40.648749709,-73.970407486,15.666666666666666,24,0.26666666666666666
3233.06,afternoon,44 St & 6 Ave,40.647105,-74.004483,15.301552106430155,451,5.011111111111111
3233.06,evening,44 St & 6 Ave,40.647105,-74.004483,15.401785714285714,448,4.977777777777778
3233.06,morning,44 St & 6 Ave,40.647105,-74.004483,12.854237288135593,295,3.2777777777777777
3233.06,overnight,44 St & 6 Ave,40.647105,-74.004483,13.413793103448276,29,0.32222222222222224
3240.15,afternoon,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,14.954451345755693,483,5.366666666666666
3240.15,evening,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,13.11522633744856,243,2.7
3240.15,morning,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,16.32017543859649,228,2.533333333333333
3240.15,overnight,Ft. Hamilton Pkwy & E 5 St,40.649037,-73.97673,11.444444444444445,18,0.2
3243.02,afternoon,47 St & 3 Ave,40.649143,-74.012384,14.147286821705427,129,1.4333333333333333
3243.02,evening,47 St & 3 Ave,40.649143,-74.012384,11.342105263157896,76,0.8444444444444444
3243.02,morning,47 St & 3 Ave,40.649143,-74.012384,11.283333333333333,60,0.6666666666666666
3243.02,overnight,47 St & 3 Ave,40.649143,-74.012384,12.428571428571429,7,0.07777777777777778
3253.01,afternoon,52 St & 1 Ave,40.649292,-74.020105,22.252032520325205,123,1.3666666666666667
3253.01,evening,52 St & 1 Ave,40.649292,-74.020105,14.702127659574469,94,1.0444444444444445
3253.01,morning,52 St & 1 Ave,40.649292,-74.020105,12.166666666666666,18,0.2
3253.01,overnight,52 St & 1 Ave,40.649292,-74.020105,16.545454545454547,11,0.12222222222222222
3266.01,afternoon,7 Ave & 40 St,40.648169,-74.000057,16.41324200913242,438,4.866666666666666
3266.01,evening,7 Ave & 40 St,40.648169,-74.000057,15.501449275362319,345,3.8333333333333335
3266.01,morning,7 Ave & 40 St,40.648169,-74.000057,14.630057803468208,346,3.8444444444444446
3266.01,overnight,7 Ave & 40 St,40.648169,-74.000057,9.86046511627907,43,0.4777777777777778
3272.01,afternoon,E 8 St & Caton Ave,40.648055,-73.972432,14.132118451025057,439,4.877777777777778
3272.01,evening,E 8 St & Caton Ave,40.648055,-73.972432,13.830434782608696,230,2.5555555555555554
3272.01,morning,E 8 St & Caton Ave,40.648055,-73.972432,16.128930817610062,318,3.533333333333333
3272.01,overnight,E 8 St & Caton Ave,40.648055,-73.972432,12.55,20,0.2222222222222222
3275.03,afternoon,45 St & 4 Ave,40.649145,-74.009486,13.875850340136054,588,6.533333333333333
3275.03,evening,45 St & 4 Ave,40.649145,-74.009486,10.45360824742268,291,3.2333333333333334
3275.03,morning,45 St & 4 Ave,40.649145,-74.009486,10.59322033898305,472,5.2444444444444445
3275.03,overnight,45 St & 4 Ave,40.649145,-74.009486,9.275,40,0.4444444444444444
3280.04,afternoon,Ft. Hamilton Pkwy & E 2 St,40.647976875,-73.979474664,14.248266296809986,721,8.011111111111111
3280.04,evening,Ft. Hamilton Pkwy & E 2 St,40.647976875,-73.979474664,13.369565217391305,322,3.577777777777778
3280.04,morning,Ft. Hamilton Pkwy & E 2 St,40.647976875,-73.979474664,14.207289293849659,439,4.877777777777778
3280.04,overnight,Ft. Hamilton Pkwy & E 2 St,40.647976875,-73.979474664,8.44,25,0.2777777777777778
3283.05,afternoon,48 St & 2 Ave,40.650176,-74.015606,15.246913580246913,81,0.9
3283.05,evening,48 St & 2 Ave,40.650176,-74.015606,23.78846153846154,52,0.5777777777777777
3283.05,morning,48 St & 2 Ave,40.650176,-74.015606,17.384615384615383,26,0.28888888888888886
3283.05,overnight,48 St & 2 Ave,40.650176,-74.015606,8.75,4,0.044444444444444446
3303.01,afternoon,Caton Ave & Argyle Rd,40.649681,-73.967829,20.29032258064516,310,3.4444444444444446
3303.01,evening,Caton Ave & Argyle Rd,40.649681,-73.967829,15.901960784313726,153,1.7
3303.01,morning,Caton Ave & Argyle Rd,40.649681,-73.967829,12.398496240601503,133,1.4777777777777779
3303.01,overnight,Caton Ave & Argyle Rd,40.649681,-73.967829,40.0,11,0.12222222222222222
3303.03,afternoon,Caton Ave & Argyle Rd,40.65,-73.97,20.739583333333332,480,5.333333333333333
3303.03,evening,Caton Ave & Argyle Rd,40.65,-73.97,19.17966101694915,295,3.2777777777777777
3303.03,morning,Caton Ave & Argyle Rd,40.65,-73.97,20.05128205128205,195,2.1666666666666665
3303.03,overnight,Caton Ave & Argyle Rd,40.65,-73.97,16.791666666666668,24,0.26666666666666666
3306.03,afternoon,5 Ave & 41 St,40.649942279,-74.005194902,14.017964071856287,668,7.4222222222222225
3306.03,evening,5 Ave & 41 St,40.649942279,-74.005194902,13.70954356846473,482,5.355555555555555
3306.03,morning,5 Ave & 41 St,40.649942279,-74.005194902,13.271966527196653,478,5.311111111111111
3306.03,overnight,5 Ave & 41 St,40.649942279,-74.005194902,18.988095238095237,84,0.9333333333333333
3312.07,afternoon,Prospect Ave & Greenwood Ave,40.651745,-73.975988,12.064724919093852,309,3.433333333333333
3312.07,evening,Prospect Ave & Greenwood Ave,40.651745,-73.975988,9.325259515570934,289,3.2111111111111112
3312.07,morning,Prospect Ave & Greenwood Ave,40.651745,-73.975988,12.229946524064172,187,2.077777777777778
3312.07,overnight,Prospect Ave & Greenwood Ave,40.651745,-73.975988,8.708333333333334,24,0.26666666666666666
3315.05,afternoon,44 St & 3 Ave,40.651371837,-74.011446595,15.421487603305785,121,1.3444444444444446
3315.05,evening,44 St & 3 Ave,40.651371837,-74.011446595,17.608695652173914,92,1.0222222222222221
3315.05,morning,44 St & 3 Ave,40.651371837,-74.011446595,12.407407407407407,54,0.6
3315.05,overnight,44 St & 3 Ave,40.651371837,-74.011446595,13.842105263157896,19,0.2111111111111111
3344.02,afternoon,Park Cir & East Dr,40.651566,-73.972212,21.84081902245707,1514,16.822222222222223
3344.02,evening,Park Cir & East Dr,40.651566,-73.972212,20.624525916561314,791,8.78888888888889
3344.02,morning,Park Cir & East Dr,40.651566,-73.972212,15.981182795698924,744,8.266666666666667
3344.02,overnight,Park Cir & East Dr,40.651566,-73.972212,12.805970149253731,67,0.7444444444444445
3347.03,afternoon,41 St & 4 Ave,40.651336908,-74.007087469,15.223684210526315,532,5.911111111111111
3347.03,evening,41 St & 4 Ave,40.651336908,-74.007087469,13.881188118811881,303,3.3666666666666667
3347.03,morning,41 St & 4 Ave,40.651336908,-74.007087469,12.424,375,4.166666666666667
3347.03,overnight,41 St & 4 Ave,40.651336908,-74.007087469,18.75862068965517,58,0.6444444444444445
3353.04,afternoon,Greenwood Ave & E 4 St,40.650739,-73.977739,12.012422360248447,322,3.577777777777778
3353.04,evening,Greenwood Ave & E 4 St,40.650739,-73.977739,11.285714285714286,147,1.6333333333333333
3353.04,morning,Greenwood Ave & E 4 St,40.650739,-73.977739,13.67005076142132,197,2.188888888888889
3353.04,overnight,Greenwood Ave & E 4 St,40.650739,-73.977739,48.642857142857146,14,0.15555555555555556
3356.07,afternoon,2 Ave & 44 St,40.65230357303063,-74.01344954967499,21.419847328244273,131,1.4555555555555555
3356.07,evening,2 Ave & 44 St,40.65230357303063,-74.01344954967499,30.446153846153845,65,0.7222222222222222
3356.07,morning,2 Ave & 44 St,40.65230357303063,-74.01344954967499,12.055555555555555,54,0.6
3356.07,overnight,2 Ave & 44 St,40.65230357303063,-74.01344954967499,7.333333333333333,3,0.03333333333333333
3376.02,afternoon,Parade Pl & Crooke Ave,40.651847,-73.965248,20.623004694835682,2130,23.666666666666668
3376.02,evening,Parade Pl & Crooke Ave,40.651847,-73.965248,20.22429149797571,1235,13.722222222222221
3376.02,morning,Parade Pl & Crooke Ave,40.651847,-73.965248,18.625766871165645,978,10.866666666666667
3376.02,overnight,Parade Pl & Crooke Ave,40.651847,-73.965248,18.285714285714285,98,1.0888888888888888
3379.03,afternoon,5 Ave & 37 St,40.652657,-74.002356,18.106145251396647,358,3.977777777777778
3379.03,evening,5 Ave & 37 St,40.652657,-74.002356,15.138211382113822,246,2.7333333333333334
3379.03,morning,5 Ave & 37 St,40.652657,-74.002356,23.194444444444443,180,2.0
3379.03,overnight,5 Ave & 37 St,40.652657,-74.002356,9.326086956521738,46,0.5111111111111111
3385.06,afternoon,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,17.577063550036524,1369,15.21111111111111
3385.06,evening,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,15.002557544757034,782,8.688888888888888
3385.06,morning,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,12.698795180722891,830,9.222222222222221
3385.06,overnight,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,8.027027027027026,74,0.8222222222222222
3388.02,afternoon,41 St & 3 Ave,40.652439594,-74.008824468,14.315217391304348,92,1.0222222222222221
3388.02,evening,41 St & 3 Ave,40.652439594,-74.008824468,13.848484848484848,33,0.36666666666666664
3388.02,morning,41 St & 3 Ave,40.652439594,-74.008824468,10.782608695652174,46,0.5111111111111111
3388.02,overnight,41 St & 3 Ave,40.652439594,-74.008824468,37.0,1,0.011111111111111112
3394.03,afternoon,McDonald Ave & Vanderbilt St,40.651654,-73.981231,10.367088607594937,237,2.6333333333333333
3394.03,evening,McDonald Ave & Vanderbilt St,40.651654,-73.981231,11.384615384615385,104,1.1555555555555554
3394.03,morning,McDonald Ave & Vanderbilt St,40.651654,-73.981231,14.416666666666666,228,2.533333333333333
3394.03,overnight,McDonald Ave & Vanderbilt St,40.651654,-73.981231,13.636363636363637,11,0.12222222222222222
3420.01,afternoon,36 St & 4 Ave,40.654144,-74.00422,11.942726231386025,873,9.7
3420.01,evening,36 St & 4 Ave,40.654144,-74.00422,9.307580174927114,686,7.622222222222222
3420.01,morning,36 St & 4 Ave,40.654144,-74.00422,12.599221789883268,514,5.711111111111111
3420.01,overnight,36 St & 4 Ave,40.654144,-74.00422,8.448818897637794,127,1.4111111111111112
3426.02,afternoon,Prospect Ave & Vanderbilt St,40.653368,-73.976291,10.923076923076923,325,3.611111111111111
3426.02,evening,Prospect Ave & Vanderbilt St,40.653368,-73.976291,10.0935960591133,203,2.2555555555555555
3426.02,morning,Prospect Ave & Vanderbilt St,40.653368,-73.976291,8.961722488038278,209,2.3222222222222224
