end_station_id,time_period,end_station_name,end_lat,end_lng,average_ride_time,riders,daily_riders
3019.03,morning,Keegan Rd & 2 Ave,40.64243139706092,-74.0255355834961,7.333333333333333,9,0.1
3038.08,afternoon,50 St & 7 Ave,40.642501,-74.006055,16.72222222222222,72,0.8
3038.08,evening,50 St & 7 Ave,40.642501,-74.006055,11.735849056603774,53,0.5888888888888889
3038.08,morning,50 St & 7 Ave,40.642501,-74.006055,9.4,40,0.4444444444444444
3038.08,overnight,50 St & 7 Ave,40.642501,-74.006055,13.625,8,0.08888888888888889
3046.03,afternoon,E 3 St & Church Ave,40.643817,-73.977433,25.64525993883792,327,3.6333333333333333
3046.03,evening,E 3 St & Church Ave,40.643817,-73.977433,23.45128205128205,195,2.1666666666666665
3046.03,morning,E 3 St & Church Ave,40.643817,-73.977433,19.954954954954953,111,1.2333333333333334
3046.03,overnight,E 3 St & Church Ave,40.643817,-73.977433,23.88888888888889,36,0.4
3050.03,afternoon,55 St & 5 Ave,40.642408,-74.013318,12.705882352941176,85,0.9444444444444444
3050.03,evening,55 St & 5 Ave,40.642408,-74.013318,17.13953488372093,43,0.4777777777777778
3050.03,morning,55 St & 5 Ave,40.642408,-74.013318,6.125,24,0.26666666666666666
3050.03,overnight,55 St & 5 Ave,40.642408,-74.013318,16.666666666666668,3,0.03333333333333333
3056.05,afternoon,12 Ave & 36 St,40.643546,-73.986418,28.55072463768116,138,1.5333333333333334
3056.05,evening,12 Ave & 36 St,40.643546,-73.986418,14.503496503496503,143,1.5888888888888888
3056.05,morning,12 Ave & 36 St,40.643546,-73.986418,20.183098591549296,71,0.7888888888888889
3056.05,overnight,12 Ave & 36 St,40.643546,-73.986418,20.142857142857142,28,0.3111111111111111
3084.05,afternoon,52 St & 6 Ave,40.642703,-74.009441,10.875,80,0.8888888888888888
3084.05,evening,52 St & 6 Ave,40.642703,-74.009441,14.21951219512195,41,0.45555555555555555
3084.05,morning,52 St & 6 Ave,40.642703,-74.009441,7.266666666666667,15,0.16666666666666666
